"location","peoNum","time","isHoliday","min_temp","max_temp","avg_temp","subjective_precipitation_category"
"SSSC",35,"2026-03-01T00:00:02.206Z",true,19,29,22.8,2
"WSSC",12,"2026-03-01T00:00:02.206Z",true,19.2,23.1,21,3
"ZSSC",4,"2026-03-01T00:00:02.206Z",true,19.2,23.1,21,3
"LKSC",16,"2026-03-01T00:00:02.206Z",true,19.2,23.1,21,3
"TYSC",16,"2026-03-01T00:00:02.206Z",true,19.3,24.5,21.3,3
"NGSC",33,"2026-03-01T00:00:02.206Z",true,19,29,22.8,2
"PQFN",8,"2026-03-01T00:00:02.206Z",true,19,29,22.8,2
"CMSC",31,"2026-03-01T00:00:02.206Z",true,18.6,25.7,21.3,3
"NTSC",27,"2026-03-01T00:00:02.206Z",true,18.6,25.7,21.3,3
"RFFN",7,"2026-03-01T00:00:02.206Z",true,19,29,22.8,2
"BTSC",21,"2026-03-01T00:15:02.056Z",true,19,29,22.8,2
"DTSC",27,"2026-03-01T00:15:02.056Z",true,19.2,23.1,21,3
"JJSC",45,"2026-03-01T00:15:02.056Z",true,19.2,23.1,21,3
"NHSC",52,"2026-03-01T00:15:02.056Z",true,19,29,22.8,2
"SLSC",39,"2026-03-01T00:15:02.056Z",true,19,29,22.8,2
"SSSC",47,"2026-03-01T00:15:02.056Z",true,19,29,22.8,2
"WSSC",21,"2026-03-01T00:15:02.056Z",true,19.2,23.1,21,3
"ZSSC",20,"2026-03-01T00:15:02.056Z",true,19.2,23.1,21,3
"LKSC",29,"2026-03-01T00:15:02.056Z",true,19.2,23.1,21,3
"TYSC",19,"2026-03-01T00:15:02.056Z",true,19.3,24.5,21.3,3
"NGSC",40,"2026-03-01T00:15:02.056Z",true,19,29,22.8,2
"PQFN",9,"2026-03-01T00:15:02.056Z",true,19,29,22.8,2
"CMSC",32,"2026-03-01T00:15:02.056Z",true,18.6,25.7,21.3,3
"NTSC",35,"2026-03-01T00:15:02.056Z",true,18.6,25.7,21.3,3
"RFFN",9,"2026-03-01T00:15:02.056Z",true,19,29,22.8,2
"ZBSC",25,"2026-03-01T00:15:02.056Z",true,19.4,23.6,20.8,2
"BTSC",24,"2026-03-01T00:30:01.929Z",true,19,29,22.8,2
"DTSC",29,"2026-03-01T00:30:01.929Z",true,19.2,23.1,21,3
"JJSC",56,"2026-03-01T00:30:01.929Z",true,19.2,23.1,21,3
"NHSC",59,"2026-03-01T00:30:01.929Z",true,19,29,22.8,2
"SLSC",48,"2026-03-01T00:30:01.929Z",true,19,29,22.8,2
"SSSC",50,"2026-03-01T00:30:01.929Z",true,19,29,22.8,2
"WSSC",22,"2026-03-01T00:30:01.929Z",true,19.2,23.1,21,3
"ZSSC",29,"2026-03-01T00:30:01.929Z",true,19.2,23.1,21,3
"LKSC",32,"2026-03-01T00:30:01.929Z",true,19.2,23.1,21,3
"TYSC",16,"2026-03-01T00:30:01.929Z",true,19.3,24.5,21.3,3
"NGSC",51,"2026-03-01T00:30:01.929Z",true,19,29,22.8,2
"PQFN",11,"2026-03-01T00:30:01.929Z",true,19,29,22.8,2
"CMSC",31,"2026-03-01T00:30:01.929Z",true,18.6,25.7,21.3,3
"NTSC",35,"2026-03-01T00:30:01.929Z",true,18.6,25.7,21.3,3
"RFFN",8,"2026-03-01T00:30:01.929Z",true,19,29,22.8,2
"ZBSC",26,"2026-03-01T00:30:01.929Z",true,19.4,23.6,20.8,2
"BTSC",34,"2026-03-01T01:15:02.024Z",true,19,29,22.8,2
"DTSC",43,"2026-03-01T01:15:02.024Z",true,19.2,23.1,21,3
"JJSC",69,"2026-03-01T01:15:02.024Z",true,19.2,23.1,21,3
"NHSC",87,"2026-03-01T01:15:02.024Z",true,19,29,22.8,2
"SLSC",49,"2026-03-01T01:15:02.024Z",true,19,29,22.8,2
"SSSC",51,"2026-03-01T01:15:02.024Z",true,19,29,22.8,2
"WSSC",30,"2026-03-01T01:15:02.024Z",true,19.2,23.1,21,3
"ZSSC",39,"2026-03-01T01:15:02.024Z",true,19.2,23.1,21,3
"LKSC",27,"2026-03-01T01:15:02.024Z",true,19.2,23.1,21,3
"TYSC",20,"2026-03-01T01:15:02.024Z",true,19.3,24.5,21.3,3
"NGSC",56,"2026-03-01T01:15:02.024Z",true,19,29,22.8,2
"PQFN",10,"2026-03-01T01:15:02.024Z",true,19,29,22.8,2
"CMSC",27,"2026-03-01T01:15:02.024Z",true,18.6,25.7,21.3,3
"NTSC",32,"2026-03-01T01:15:02.024Z",true,18.6,25.7,21.3,3
"RFFN",9,"2026-03-01T01:15:02.024Z",true,19,29,22.8,2
"ZBSC",26,"2026-03-01T01:15:02.024Z",true,19.4,23.6,20.8,2
"BTSC",34,"2026-03-01T01:30:02.195Z",true,19,29,22.8,2
"DTSC",40,"2026-03-01T01:30:02.195Z",true,19.2,23.1,21,3
"JJSC",74,"2026-03-01T01:30:02.195Z",true,19.2,23.1,21,3
"NHSC",85,"2026-03-01T01:30:02.195Z",true,19,29,22.8,2
